# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	66987
#@/user_id	eda97b9c-91d9-424e-a110-67fce4e92b13
a 	啊	c=267 d=2.50639 t=66987
xian sha pang ren 	羡煞旁人	c=1 d=3.45914e-12 t=66987
xian shang 	线上	c=87 d=0.000709504 t=66987
xian shang bao 	线上包	c=1 d=8.29637e-39 t=66987
xian shang le 	先上了	c=2 d=1.19357e-111 t=66987
xian sheng 	先生	c=7 d=0.0608294 t=66987
xian shi 	显示	c=19 d=0.00192083 t=66987
xian shi 	现实	c=1 d=2.36308e-29 t=66987
xian shi 	限时	c=1 d=3.66793e-25 t=66987
xian shi qi 	显示器	c=4 d=1.01646e-45 t=66987
xian tian 	先天	c=1 d=1.10349e-129 t=66987
xian xia 	线下	c=2 d=1.09224e-38 t=66987
xian xian 	显现	c=1 d=2.24662e-52 t=66987
xian xiang 	现象	c=2 d=1.94292e-108 t=66987
xian xing 	线性	c=1 d=4.31141e-103 t=66987
xian yan 	显眼	c=1 d=5.49934e-25 t=66987
xian yong 	先用	c=1 d=2.43647e-124 t=66987
xian you 	现有	c=2 d=1.00447e-23 t=66987
xian za si 	先砸死	c=1 d=9.29482e-23 t=66987
xian zai 	现在	c=229 d=1.07084 t=66987
xian zhi 	限制	c=18 d=0.0227089 t=66987
xian zhi de 	限制的	c=1 d=4.18029e-122 t=66987
xian zhi yi xia 	限制一下	c=1 d=2.8027e-95 t=66987
xian zi ai 	先自爱	c=26 d=0.189191 t=66987
xiang 	像	c=9 d=1.12256e-66 t=66987
xiang 	向	c=7 d=2.71845e-56 t=66987
xiang 	想	c=40 d=2.00946 t=66987
xiang 	香	c=1 d=0.0608101 t=66987
xiang bo bo 	香饽饽	c=1 d=3.76514e-68 t=66987
xiang bu tong 	想不通	c=1 d=1.53006e-33 t=66987
xiang bu xiang 	想不想	c=1 d=6.9623e-06 t=66987
xiang chi sha 	想吃啥	c=1 d=1.91574e-60 t=66987
xiang dang 	相当	c=1 d=3.796e-17 t=66987
xiang dang yu 	相当于	c=2 d=3.81607e-79 t=66987
xiang dui 	相对	c=2 d=1.80301e-23 t=66987
xiang duo le 	想多了	c=1 d=6.96993e-107 t=66987
xiang fa 	想法	c=1 d=1.36435e-08 t=66987
xiang fan 	相反	c=1 d=4.55348e-128 t=66987
xiang fu 	享福	c=1 d=1.3658e-138 t=66987
xiang fu 	降伏	c=1 d=1.35899e-138 t=66987
xiang gang 	香港	c=4 d=0.0731678 t=66987
xiang guan 	相关	c=27 d=3.13874e-07 t=66987
xiang hu 	相互	c=1 d=4.36973e-114 t=66987
xiang kuang 	相框	c=0 d=0.0304221 t=66987
xiang liang hua 	向量化	c=1 d=1.80025e-05 t=66987
xiang mei ju 	想枚举	c=2 d=0.263158 t=66987
xiang mu 	项目	c=58 d=0.264477 t=66987
xiang mu zhong 	项目中	c=1 d=1.17024e-26 t=66987
xiang qian 	向前	c=1 d=4.55736e-138 t=66987
xiang qing 	详情	c=51 d=0.187477 t=66987
xiang qing chu 	想清楚	c=1 d=3.91043e-131 t=66987
xiang qing ye 	详情页	c=27 d=1.05739 t=66987
xiang rang 	想让	c=1 d=2.20408e-33 t=66987
xiang sheng 	响声	c=1 d=3.93752e-124 t=66987
xiang shui jiao 	想睡觉	c=1 d=1.26965e-44 t=66987
xiang si 	相似	c=1 d=8.97331e-50 t=66987
xiang su 	像素	c=1 d=1.04789e-109 t=66987
xiang su dian 	像素点	c=1 d=1.03229e-109 t=66987
xiang tong 	相同	c=2 d=0.261846 t=66987
xiang tu 	想吐	c=1 d=4.90828e-99 t=66987
xiang wo 	像我	c=1 d=0.00319873 t=66987
xiang xi 	详细	c=2 d=0.00562801 t=66987
xiang xiang 	想象	c=3 d=2.5851e-56 t=66987
xiang xin 	相信	c=3 d=1.44278e-27 t=66987
xiang yan 	香烟	c=1 d=7.84572e-29 t=66987
xiang yang 	襄阳	c=1 d=6.24005e-41 t=66987
xiang yao 	想要	c=9 d=1.09929e-17 t=66987
xiang yin 	乡音	c=1 d=6.83723e-28 t=66987
xiang ying 	响应	c=4 d=0.000208022 t=66987
xiang ying 	相应	c=1 d=1.63132e-81 t=66987
xiang ying tou 	响应头	c=1 d=1.97852e-57 t=66987
xiang you 	向右	c=1 d=0.843665 t=66987
xiang zhe 	想着	c=1 d=0.00194986 t=66987
xiao 	小	c=19 d=0.878104 t=66987
xiao 	晓	c=1 d=9.25199e-145 t=66987
xiao 	笑	c=3 d=0.373439 t=66987
xiao 	肖	c=16 d=8.23789e-07 t=66987
xiao ai 	小爱	c=1 d=5.56069e-126 t=66987
xiao bai 	小白	c=1 d=2.29051e-15 t=66987
xiao ban 	小板	c=1 d=0.00304273 t=66987
xiao bao bao 	小宝宝	c=1 d=0.0102549 t=66987
xiao cheng xu 	小程序	c=10 d=0.0173685 t=66987
xiao fei 	消费	c=5 d=2.62794e-08 t=66987
xiao fei duan 	消费端	c=1 d=5.2015e-17 t=66987
xiao guo 	效果	c=29 d=6.09662e-34 t=66987
xiao hai 	小孩	c=47 d=0.0202064 t=66987
xiao hai ye shi 	小孩也是	c=1 d=2.18779e-34 t=66987
xiao hao 	消耗	c=3 d=9.34524e-25 t=66987
xiao he 	小鹤	c=1 d=0.56836 t=66987
xiao hong shu 	小红书	c=5 d=5.59214e-16 t=66987
xiao hua 	消化	c=1 d=6.28522e-67 t=66987
xiao hui 	销毁	c=9 d=1.93016e-79 t=66987
xiao jia huo 	小家伙	c=1 d=6.11357e-06 t=66987
xiao lian 	笑脸	c=1 d=3.4072e-128 t=66987
xiao mao 	小猫	c=1 d=1.05748e-128 t=66987
xiao mi 	小米	c=10 d=0.0369579 t=66987
xiao ming 	小名	c=2 d=4.57178e-87 t=66987
xiao mo xing 	小模型	c=1 d=3.89607e-29 t=66987
xiao peng 	小鹏	c=1 d=4.1921e-67 t=66987
xiao qu 	小区	c=5 d=9.52525e-17 t=66987
xiao shi 	小时	c=15 d=8.58035e-05 t=66987
xiao shi 	消失	c=1 d=1.07478e-113 t=66987
xiao shi hou 	小时候	c=3 d=2.50401e-34 t=66987
xiao shi le 	消失了	c=1 d=1.70224e-111 t=66987
xiao shou 	销售	c=1 d=0.802519 t=66987
xiao shou sha 	销售啥	c=1 d=5.80928e-23 t=66987
xiao shu 	小数	c=5 d=1.41779e-105 t=66987
xiao shu dian 	小数点	c=1 d=6.92786e-124 t=66987
xiao shuo 	小说	c=2 d=4.85449e-87 t=66987
xiao xi 	消息	c=99 d=0.789463 t=66987
xiao xiao 	小小	c=3 d=0.000642592 t=66987
xiao xie 	小写	c=2 d=1.0395e-44 t=66987
xiao xin 	小心	c=5 d=0.715338 t=66987
xiao xue 	小学	c=3 d=4.99705e-40 t=66987
xiao ya 	小雅	c=4 d=2.25815e-37 t=66987
xiao yi 	效益	c=1 d=2.99673e-59 t=66987
xiao yi dian 	小一点	c=1 d=8.07425e-102 t=66987
xiao you 	校友	c=1 d=8.27663e-11 t=66987
xiao you xi 	小游戏	c=19 d=7.94979e-05 t=66987
xiao yu 	小于	c=8 d=4.98618e-49 t=66987
xie 	些	c=1 d=1.69565e-36 t=66987
xie 	写	c=72 d=1.29846 t=66987
xie 	谢	c=7 d=1.02969 t=66987
xie bu diao 	卸不掉	c=2 d=7.40492e-17 t=66987
xie bu wan 	卸不完	c=1 d=1.47784e-95 t=66987
xie chu 	写出	c=1 d=2.40125e-41 t=66987
xie cuo le 	写错了	c=1 d=1.58834e-61 t=66987
xie dai 	携带	c=3 d=9.38633e-50 t=66987
xie dai ma 	写代码	c=1 d=1.02822e-92 t=66987
xie dao 	写到	c=2 d=7.22012e-22 t=66987
xie de 	写的	c=6 d=2.3831e-40 t=66987
xie fa 	写法	c=6 d=2.00992e-07 t=66987
xie fan le 	写反了	c=1 d=6.47223e-59 t=66987
xie fen 	泄愤	c=1 d=2.83126e-126 t=66987
xie gang 	斜杠	c=5 d=2.66709e-41 t=66987
xie ge 	写个	c=1 d=2.49372e-15 t=66987
xie huang 	蟹黄	c=1 d=3.5019e-127 t=66987
xie lao shi 	谢老师	c=4 d=0.0335406 t=66987
xie le 	写了	c=5 d=4.87732e-54 t=66987
xie le ge 	写了个	c=1 d=0.161218 t=66987
xie lou 	泄露	c=3 d=0.00171216 t=66987
xie lv 	斜率	c=1 d=1.17316e-114 t=66987
xie ri zhi 	写日志	c=1 d=9.34906e-62 t=66987
xie ru 	写入	c=10 d=0.154124 t=66987
xie sha 	写啥	c=2 d=4.10507e-136 t=66987
xie shang 	协商	c=0 d=1.50555e-138 t=66987
xie shang le 	协商了	c=1 d=1.5131e-137 t=66987
xie si 	写死	c=9 d=8.1773e-16 t=66987
xie si le 	写死了	c=1 d=1.40381e-108 t=66987
xie ting 	谢婷	c=14 d=3.26993e-28 t=66987
xie wan 	写完	c=3 d=0.647265 t=66987
xie yi 	协议	c=11 d=0.00017956 t=66987
xie yi ge 	写一个	c=5 d=1.1189e-57 t=66987
xie zai 	写在	c=7 d=9.20987e-62 t=66987
xie zai 	卸载	c=44 d=0.325741 t=66987
xie zai shi 	卸载是	c=2 d=3.51552e-43 t=66987
xin 	信	c=2 d=0.114178 t=66987
xin 	心	c=2 d=2.10243e-07 t=66987
xin 	新	c=51 d=0.0845849 t=66987
xin 	欣	c=1 d=8.71319e-145 t=66987
xin ban 	新版	c=2 d=1.06651e-81 t=66987
xin ban ben 	新版本	c=2 d=3.63735e-49 t=66987
xin cheng 	新城	c=1 d=1.54491e-29 t=66987
xin de 	新的	c=1 d=5.48403e-51 t=66987
xin fang 	信访	c=1 d=1.01823e-36 t=66987
xin fang 	新房	c=2 d=3.18973e-36 t=66987
xin guan 	新冠	c=2 d=3.03158e-48 t=66987
xin jia 	新加	c=3 d=2.85855e-53 t=66987
xin jian 	新建	c=3 d=2.29129e-19 t=66987
xin kai 	新开	c=9 d=5.8626e-49 t=66987
xin ke hu 	新客户	c=1 d=0.00318278 t=66987
xin ku 	辛苦	c=3 d=7.43909e-42 t=66987
xin lao 	新老	c=1 d=3.23573e-50 t=66987
xin li 	心里	c=1 d=1.61717e-08 t=66987
xin pian 	芯片	c=11 d=0.00762015 t=66987
xin qing 	心情	c=1 d=2.77981e-28 t=66987
xin ren 	信任	c=1 d=5.25199e-13 t=66987
xin shang 	欣赏	c=2 d=1.83457e-80 t=66987
xin shi 	新式	c=1 d=3.89901e-126 t=66987
xin tiao 	心跳	c=1 d=3.84644e-84 t=66987
xin wen 	新闻	c=2 d=0.0963276 t=66987
xin xi 	信息	c=128 d=2.26556 t=66987
xin xi lan 	新西兰	c=2 d=1.60364e-102 t=66987
xin xi xue 	信息学	c=1 d=1.66281e-100 t=66987
xin xiang 	信箱	c=2 d=0.254448 t=66987
xin xiao xi 	新消息	c=3 d=6.33308e-68 t=66987
xin xin 	信心	c=1 d=1.54891e-30 t=66987
xin xin ku ku 	辛辛苦苦	c=1 d=1.55668e-30 t=66987
xin xiong di 	新兄弟	c=1 d=6.92691e-93 t=66987
xin yang 	信仰	c=1 d=1.36911e-137 t=66987
xin yue 	心悦	c=2 d=3.22566e-37 t=66987
xin zang 	心脏	c=4 d=9.70984e-126 t=66987
xin zeng 	新增	c=25 d=3.20294e-15 t=66987
xin zhong guo 	新中国	c=1 d=3.6911e-99 t=66987
xin zuo 	新作	c=2 d=4.43969e-58 t=66987
xing 	性	c=5 d=0.332212 t=66987
xing 	行	c=10 d=0.000608204 t=66987
xing 	醒	c=3 d=3.07957e-19 t=66987
xing che ji lu 	行车记录	c=1 d=1.44381e-115 t=66987
xing fu 	幸福	c=1 d=2.60088e-10 t=66987
xing hai 	星海	c=56 d=5.71987e-17 t=66987
xing hao 	型号	c=3 d=0.735199 t=66987
xing ji 	星际	c=3 d=1.63588e-18 t=66987
xing kai 	行楷	c=1 d=9.52819e-50 t=66987
xing le 	行了	c=4 d=3.8164e-21 t=66987
xing le 	醒了	c=3 d=0.00102249 t=66987
xing li xiang 	行李箱	c=1 d=1.05694e-122 t=66987
xing ming 	姓名	c=1 d=5.76422e-49 t=66987
xing neng 	性能	c=7 d=1.08399e-37 t=66987
xing qi 	兴起	c=1 d=2.63393e-129 t=66987
xing qi 	星期	c=2 d=5.64674e-129 t=66987
xing qu 	兴趣	c=0 d=1.00089e-129 t=66987
xing qu ban 	兴趣板	c=1 d=1.00591e-128 t=66987
xing shi 	形式	c=5 d=2.94321e-15 t=66987
xing wei 	行为	c=3 d=8.92856e-50 t=66987
xing xing 	星星	c=5 d=9.14028e-61 t=66987
xing xing wei 	性行为	c=1 d=3.93953e-130 t=66987
xing yi 	行医	c=1 d=6.97535e-28 t=66987
xiong 	凶	c=2 d=1.11072e-138 t=66987
xiong 	熊	c=3 d=2.2719e-66 t=66987
xiong di 	兄弟	c=2 d=1.35167e-92 t=66987
xiong tong 	胸痛	c=1 d=8.78366e-34 t=66987
xiong xing 	雄性	c=1 d=2.03698e-76 t=66987
xiu 	休	c=14 d=7.95151e-28 t=66987
xiu 	修	c=4 d=1.44516e-96 t=66987
xiu fu 	修复	c=57 d=1.08594 t=66987
xiu gai 	修改	c=95 d=1.4539 t=66987
xiu gai an 	修改案	c=1 d=2.12097e-22 t=66987
xiu hao le 	修好了	c=1 d=1.16544e-07 t=66987
xiu jia 	休假	c=4 d=4.19308e-11 t=66987
xiu le 	修了	c=2 d=2.02585e-41 t=66987
xiu mian 	休眠	c=2 d=4.7208e-82 t=66987
xiu wan 	修完	c=4 d=4.71709e-14 t=66987
xiu xi 	休息	c=5 d=0.0104621 t=66987
xiu yang sheng xi 	休养生息	c=1 d=1.80552e-10 t=66987
xu 	徐	c=1 d=2.73499e-72 t=66987
xu 	虚	c=1 d=4.9593e-103 t=66987
xu 	许	c=1 d=2.19757e-57 t=66987
xu 	需	c=3 d=0.640824 t=66987
xu ai yo 	需哎哟	c=1 d=3.55347e-05 t=66987
xu bu xu yao 	需不需要	c=1 d=1.09124e-86 t=66987
xu fei 	续费	c=2 d=1.5151e-35 t=66987
xu hao 	序号	c=11 d=0.320705 t=66987
xu hui 	旭辉	c=2 d=0.484325 t=66987
xu ke zheng 	许可证	c=1 d=6.97298e-24 t=66987
xu lie hua 	序列化	c=1 d=1.4472e-25 t=66987
xu ni 	虚拟	c=21 d=0.409899 t=66987
xu ni hua 	虚拟化	c=1 d=5.71774e-42 t=66987
xu ni ji 	虚拟机	c=18 d=3.14061e-44 t=66987
xu qi 	续期	c=2 d=4.12199e-50 t=66987
xu qiu 	需求	c=52 d=0.00852289 t=66987
xu qiu liang 	需求量	c=1 d=2.64685e-69 t=66987
xu qiu shang 	需求上	c=2 d=5.99232e-35 t=66987
xu qu 	序曲	c=1 d=4.39818e-14 t=66987
xu wei yi dai 	虚位以待	c=1 d=0.839457 t=66987
xu xie 	续写	c=1 d=3.94394e-55 t=66987
xu yao 	需要	c=164 d=1.6229 t=66987
xu yuan 	许愿	c=1 d=0.704688 t=66987
xu yue 	续约	c=7 d=1.62239e-33 t=66987
xuan 	炫	c=1 d=4.17247e-100 t=66987
xuan 	玄	c=1 d=3.75351e-61 t=66987
xuan 	选	c=14 d=2.08025e-19 t=66987
xuan ba sai 	选拔赛	c=1 d=1.50446e-11 t=66987
xuan chuan 	宣传	c=5 d=1.07501e-08 t=66987
xuan dao 	宣导	c=1 d=6.95853e-29 t=66987
xuan de 	选的	c=1 d=3.73034e-47 t=66987
xuan fa 	宣发	c=10 d=6.90319e-45 t=66987
xuan fu 	悬浮	c=4 d=1.96383e-79 t=66987
xuan fu 	炫富	c=1 d=3.48147e-118 t=66987
xuan fu qiu 	炫富求	c=3 d=1.46521e-116 t=66987
xuan ju 	选举	c=1 d=1.49804e-137 t=66987
xuan kou 	选扣	c=1 d=5.25556e-21 t=66987
xuan ku 	炫酷	c=4 d=3.60718e-05 t=66987
xuan le 	选了	c=1 d=2.37041e-36 t=66987
xuan pai 	选派	c=3 d=1.18655e-107 t=66987
xuan pai 	选牌	c=4 d=1.07223e-82 t=66987
xuan ran 	渲染	c=14 d=8.59363e-12 t=66987
xuan ren 	选人	c=8 d=0.000139842 t=66987
xuan shang jin 	悬赏金	c=0 d=1.48585e-42 t=66987
xuan shang jin ou 	悬赏金欧	c=1 d=1.4933e-41 t=66987
xuan shou 	选手	c=8 d=1.50079e-41 t=66987
xuan xiang 	选项	c=11 d=2.12742e-38 t=66987
xuan yang 	宣扬	c=1 d=9.42055e-34 t=66987
xuan ze 	选择	c=34 d=2.40109e-10 t=66987
xuan zhong 	选中	c=11 d=1.5527e-23 t=66987
xuan zhou 	宣州	c=1 d=1.48585e-41 t=66987
xuan zhuan 	旋转	c=2 d=3.14813e-80 t=66987
xue 	学	c=10 d=0.0718924 t=66987
xue 	血	c=14 d=0.00602499 t=66987
xue 	雪	c=3 d=0.000281606 t=66987
xue ba 	学霸	c=1 d=8.89822e-10 t=66987
xue bu hui 	学不会	c=1 d=5.34265e-126 t=66987
xue dao le 	学到了	c=1 d=8.63881e-103 t=66987
xue fei 	学费	c=5 d=8.24911e-138 t=66987
xue fen 	学分	c=1 d=1.86217e-138 t=66987
xue hao 	学好	c=2 d=3.1711e-40 t=66987
xue hui 	学会	c=1 d=9.80803e-67 t=66987
xue li 	学历	c=2 d=9.24963e-41 t=66987
xue liang 	血量	c=9 d=1.5474e-105 t=66987
xue sheng 	学生	c=2 d=9.91637e-41 t=66987
xue sheng hui 	学生会	c=1 d=3.45903e-41 t=66987
xue xi 	学习	c=6 d=0.0639279 t=66987
xue xi wei yuan 	学习委员	c=1 d=1.24291e-117 t=66987
xue xiao 	学校	c=4 d=3.45379e-40 t=66987
xue xiao ban 	血小板	c=1 d=0.00621991 t=66987
xue xing 	血腥	c=1 d=1.77841e-126 t=66987
xue yu 	雪域	c=2 d=2.83178e-14 t=66987
xun hang 	巡航	c=1 d=1.64217e-12 t=66987
xun huan 	循环	c=2 d=0.000525456 t=66987
xun lei 	迅雷	c=4 d=0.390095 t=66987
xun lian 	训练	c=1 d=4.6138e-77 t=66987
xun zhang 	勋章	c=3 d=0.35878 t=66987
ya 	亚	c=3 d=3.28567e-110 t=66987
ya 	压	c=13 d=1.14024e-52 t=66987
ya 	呀	c=64 d=0.66034 t=66987
ya 	牙	c=1 d=1.55795e-69 t=66987
ya chi 	牙齿	c=1 d=9.24097e-131 t=66987
ya gao 	牙膏	c=0 d=1.32427e-11 t=66987
ya jin 	押金	c=1 d=3.94675e-34 t=66987
ya jun 	亚军	c=9 d=3.75518e-07 t=66987
ya ke 	牙科	c=1 d=1.04714e-130 t=66987
ya li 	压力	c=6 d=1.26793e-28 t=66987
ya ma zi 	亚麻籽	c=1 d=5.31669e-10 t=66987
ya qian 	牙签	c=1 d=4.64784e-134 t=66987
ya shua 	牙刷	c=1 d=1.71321e-69 t=66987
ya suo 	压缩	c=9 d=2.42291e-29 t=66987
ya xian 	牙线	c=2 d=3.40212e-69 t=66987
ya yi ya 	压一压	c=1 d=2.88649e-118 t=66987
yan 	炎	c=1 d=3.45774e-66 t=66987
yan 	烟	c=1 d=7.99034e-38 t=66987
yan 	燕	c=2 d=1.21379e-44 t=66987
yan 	眼	c=1 d=3.86979e-67 t=66987
yan cao 	烟草	c=1 d=7.56274e-38 t=66987
yan chi 	延迟	c=7 d=2.10707e-73 t=66987
yan fa 	研发	c=5 d=4.76899e-32 t=66987
yan ge 	严格	c=4 d=2.12083e-80 t=66987
yan ge 	阉割	c=1 d=2.38912e-99 t=66987
yan guang shi 	验光师	c=1 d=6.76689e-24 t=66987
yan hua 	烟花	c=6 d=1.93883e-26 t=66987
yan jin 	严禁	c=2 d=1.58763e-26 t=66987
yan jing 	眼镜	c=2 d=3.31775e-91 t=66987
yan jiu 	研究	c=11 d=1.22548e-08 t=66987
yan lun 	言论	c=1 d=2.40672e-09 t=66987
yan qi 	延期	c=1 d=1.24841e-22 t=66987
yan qiu 	眼球	c=1 d=4.69455e-134 t=66987
yan se 	颜色	c=22 d=4.56498e-41 t=66987
yan sheng 	衍生	c=1 d=2.84806e-78 t=66987
yan shi 	演示	c=1 d=6.55377e-118 t=66987
yan shou 	验收	c=5 d=0.941765 t=66987
yan yun 	烟云	c=1 d=1.20773e-44 t=66987
yan zheng 	炎症	c=1 d=3.76246e-89 t=66987
yan zheng 	验证	c=16 d=0.00127942 t=66987
yan zheng hao le 	验证好了	c=2 d=6.96445e-39 t=66987
yan zheng ma 	验证码	c=11 d=1.51932 t=66987
yan zheng man 	验证慢	c=1 d=0.000623601 t=66987
yan zhi 	颜值	c=1 d=2.3789e-78 t=66987
yan zhong 	严重	c=7 d=1.74159e-27 t=66987
yan zhou 	兖州	c=1 d=2.9357e-111 t=66987
yang 	养	c=8 d=5.02206e-08 t=66987
yang 	杨	c=17 d=0.900325 t=66987
yang 	洋	c=1 d=3.13753e-11 t=66987
yang 	痒	c=1 d=3.80027e-89 t=66987
yang cheng 	养成	c=7 d=0.354451 t=66987
yang hua 	养花	c=1 d=8.76191e-93 t=66987
yang lao 	养老	c=2 d=8.81172e-88 t=66987
yang lao jin 	养老金	c=1 d=1.53392e-92 t=66987
yang le 	痒了	c=1 d=0.307279 t=66987
yang nai 	羊奶	c=1 d=3.29783e-09 t=66987
yang shi 	样式	c=57 d=0.000669285 t=66987
yang shou ji 	洋手机	c=1 d=1.30042e-61 t=66987
yang shuang 	杨爽	c=1 d=1.48399e-85 t=66987
yang si 	养死	c=1 d=9.1652e-93 t=66987
yang zi 	样子	c=1 d=1.36854e-44 t=66987
yao 	咬	c=4 d=4.95815e-130 t=66987
yao 	姚	c=1 d=9.68835e-99 t=66987
yao 	摇	c=1 d=1.66106e-117 t=66987
yao 	药	c=19 d=1.58133e-09 t=66987
yao 	要	c=271 d=2.27325 t=66987
yao bu 	要不	c=18 d=0.054204 t=66987
yao bu liao 	要不了	c=1 d=3.74612e-126 t=66987
yao bu ran 	要不然	c=21 d=0.546074 t=66987
yao bu yao 	要不要	c=6 d=0.119847 t=66987
yao chi 	要吃	c=1 d=9.03768e-134 t=66987
yao dao 	要到	c=1 d=1.12512e-34 t=66987
yao gai 	要改	c=2 d=0.0587185 t=66987
yao gei yi ge 	要给一个	c=1 d=3.12477e-110 t=66987
yao kai fa 	要开发	c=1 d=7.4317e-97 t=66987
yao mai 	要买	c=1 d=3.98277e-82 t=66987
yao me 	要么	c=5 d=2.3979e-54 t=66987
yao mo 	妖魔	c=2 d=9.63378e-62 t=66987
yao mo hua 	妖魔化	c=1 d=2.70004e-09 t=66987
yao qing ma 	邀请码	c=1 d=0.102284 t=66987
yao qiu 	要求	c=9 d=0.000871757 t=66987
yao qu 	要去	c=2 d=8.77072e-130 t=66987
yao ren 	咬人	c=2 d=1.99607e-131 t=66987
yao shi 	要是	c=3 d=2.05507e-33 t=66987
yao shi 	钥匙	c=1 d=1.54508e-89 t=66987
yao shu jiao 	要树胶	c=1 d=2.06186e-13 t=66987
yao si 	要死	c=0 d=7.23019e-10 t=66987
yao suan bei tong 	腰酸背痛	c=1 d=2.32325e-123 t=66987
yao ta 	要他	c=1 d=4.69295e-130 t=66987
yao tan 	要谈	c=0 d=2.11988e-17 t=66987
yao wan 	药丸	c=1 d=1.21465e-23 t=66987
yao wo 	要我	c=3 d=7.11263e-22 t=66987
yao yong 	要用	c=2 d=8.99377e-18 t=66987
yao yu ba 	要鱼吧	c=1 d=1.19494e-07 t=66987
yao yue 	邀约	c=2 d=1.65224e-58 t=66987
yao zai 	要在	c=2 d=2.35346e-106 t=66987
yao zhao 	要找	c=1 d=2.70317e-52 t=66987
ye 	业	c=2 d=4.48216e-60 t=66987
ye 	也	c=151 d=1.85236 t=66987
ye 	叶	c=1 d=4.15166e-100 t=66987
ye an 	液氨	c=1 d=1.53528e-73 t=66987
ye bi 	也比	c=1 d=9.05645e-129 t=66987
ye bu 	也不	c=1 d=0.882497 t=66987
ye bu dui 	也不对	c=1 d=9.16676e-95 t=66987
ye bu gui 	也不贵	c=1 d=2.12444e-100 t=66987
ye bu hao 	也不好	c=1 d=1.78568e-27 t=66987
ye bu he shi 	也不合适	c=1 d=3.66434e-131 t=66987
ye bu pian yi 	也不便宜	c=1 d=6.20808e-10 t=66987
ye bu shi 	也不是	c=2 d=6.48677e-56 t=66987
ye bu suan 	也不算	c=1 d=5.86929e-85 t=66987
ye bu xiang xiang 	也不想想	c=1 d=9.51754e-125 t=66987
ye bu xing 	也不行	c=5 d=0.394554 t=66987
ye bu yi yang 	也不一样	c=1 d=3.63046e-110 t=66987
ye bu yong 	也不用	c=1 d=8.49256e-108 t=66987
ye bu zhan shi 	也不展示	c=1 d=1.07913e-43 t=66987
ye dei 	也得	c=4 d=0.000916453 t=66987
ye dou 	也都	c=1 d=1.99692e-107 t=66987
ye duo 	也多	c=1 d=6.08126e-120 t=66987
ye fang zai 	也放在	c=1 d=5.18299e-122 t=66987
ye hao le 	也好了	c=4 d=2.54705e-58 t=66987
ye he 	也和	c=1 d=2.01197e-19 t=66987
ye hui 	也会	c=17 d=0.391155 t=66987
ye jia 	也加	c=1 d=5.14908e-133 t=66987
ye jian 	夜间	c=5 d=6.38276e-73 t=66987
ye jiu 	也就	c=3 d=0.121846 t=66987
ye jiu shi shuo 	也就是说	c=1 d=4.41393e-56 t=66987
ye ke neng 	也可能	c=1 d=2.73528e-132 t=66987
ye ke yi 	也可以	c=9 d=5.63184e-11 t=66987
ye lian 	冶炼	c=1 d=9.62262e-19 t=66987
ye mei 	也没	c=3 d=2.09266e-11 t=66987
ye mei shuo 	也没说	c=1 d=1.12001e-98 t=66987
ye mei you 	也没有	c=1 d=2.2386e-10 t=66987
ye mian 	页面	c=136 d=0.0757276 t=66987
ye mian di zhi 	页面地址	c=2 d=3.11044e-56 t=66987
ye mian fa 	页面发	c=1 d=7.32425e-14 t=66987
ye mian hao xiang 	页面好像	c=1 d=8.33965e-12 t=66987
ye na 	也拿	c=0 d=1.99488e-96 t=66987
ye neng 	也能	c=1 d=5.63591e-137 t=66987
ye o dou shi 	也哦都是	c=1 d=0.806541 t=66987
ye shi 	也是	c=56 d=0.765056 t=66987
ye shu 	页数	c=1 d=8.62063e-137 t=66987
ye shuo 	也说	c=1 d=6.7254e-128 t=66987
ye suan 	也算	c=2 d=4.27301e-86 t=66987
ye wu 	业务	c=37 d=2.57449e-05 t=66987
ye wu ceng 	业务层	c=1 d=1.71712e-37 t=66987
ye wu shang 	业务上	c=1 d=7.01844e-71 t=66987
ye xin 	野心	c=0 d=2.47994e-39 t=66987
ye xing 	也行	c=5 d=0.0107269 t=66987
ye xu yao 	也需要	c=6 d=6.40259e-20 t=66987
ye yao 	也要	c=24 d=7.00078e-12 t=66987
ye ye nai nai 	爷爷奶奶	c=1 d=7.10226e-93 t=66987
ye yi wei 	也以为	c=0 d=1.73025e-10 t=66987
ye ying gai 	也应该	c=1 d=1.42516e-21 t=66987
ye you 	也有	c=10 d=2.31157e-05 t=66987
ye you dian 	也有点	c=1 d=7.41173e-36 t=66987
ye zai 	也在	c=1 d=8.05614e-105 t=66987
yi 	一	c=21 d=0.579842 t=66987
yi 	亿	c=2 d=0.582748 t=66987
yi 	以	c=33 d=0.949952 t=66987
yi 	易	c=3 d=2.71302e-36 t=66987
yi ban 	一半	c=4 d=6.06974e-25 t=66987
yi ban 	一般	c=22 d=0.151829 t=66987
yi ban ben 	一版本	c=1 d=2.65145e-60 t=66987
yi ban ren 	一般人	c=2 d=3.93043e-124 t=66987
yi ban shi 	一般是	c=1 d=6.24876e-28 t=66987
yi bao 	医保	c=1 d=6.5109e-129 t=66987
yi bei zi 	一辈子	c=1 d=4.00806e-127 t=66987
yi ben 	一本	c=1 d=3.19506e-107 t=66987
yi bian 	一边	c=1 d=4.70846e-110 t=66987
yi bian 	一遍	c=1 d=6.95949e-60 t=66987
